Legajo;Estado;Estructura;Convenio;Categoria;ID_Cat;Ingreso;Sexo;provincia;puesto;piramide;Titulo ;ID_PuestoBasico;Sindicato;ID_sindicato;Enero;Febrero;Marzo
231;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;8/9/2015;M;FORM                    ;Analista de Mantenimiento;6;NO;AMT     ;Fuera de Convenio;4;487369;633580;760296
236;ACTI;Dentro de convenio;CC-781  ;27 Hs. CATEGORIA OP. A CCT 781;OP27;14/9/2015;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;226935,62;251898,54;251898,54
1420;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;2/2/2009;F;CBA                     ;Team Leader Operaciones;7;NO;TLC     ;Fuera de Convenio;4;481271;625652;750782
1444;ACTI;Dentro de convenio;ATCC    ;36,0 Hs. CATEGORIA 3 CCT688/14;H01 ;2/2/2009;F;CBA                     ;Operador ;8;NO;CDT     ;ATACC No Afiliado;3;314974,44;349621,63;349621,63
1470;ACTI;Dentro de convenio;ATCC    ;30,0 Hs. CATEGORIA 3 CCT688/14;H13 ;23/2/2009;F;CBA                     ;Operador ;8;NO;CDT     ;ATACC No Afiliado;3;262478,7;291351,36;291351,36
1514;ACTI;Dentro de convenio;ATCC    ;36,0 Hs. CATEGORIA 3 CCT688/14;H01 ;27/9/2010;M;CBA                     ;Operador ;8;NO;CDT     ;ATACC No Afiliado;3;314974,44;349621,63;349621,63
1515;ACTI;Dentro de convenio;ATCC    ;36,0 Hs. CATEGORIA 3 CCT688/14;H01 ;27/9/2010;F;CBA                     ;Operador ;8;NO;CDT     ;ATACC No Afiliado;3;314974,44;349621,63;349621,63
1516;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;8/11/2010;F;CBA                     ;Team Leader Operaciones;7;NO;TLC     ;Fuera de Convenio;4;396802;515843;619012
1522;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;8/11/2010;F;CBA                     ;Team Leader Operaciones;7;NO;TLC     ;Fuera de Convenio;4;446398;580317;696380
1527;ACTI;Dentro de convenio;ATCC    ;30,0 Hs. CATEGORIA 3 CCT688/14;H13 ;8/11/2010;M;CBA                     ;Operador ;8;NO;CDT     ;ATACC No Afiliado;3;262478,7;291351,36;291351,36
1535;ACTI;Dentro de convenio;ATCC    ;30,0 Hs. CATEGORIA 3 CCT688/14;H13 ;6/12/2010;M;CBA                     ;Operador ;8;NO;CDT     ;ATACC No Afiliado;3;262478,7;291351,36;291351,36
1540;ACTI;Dentro de convenio;ATCC    ;30,0 Hs. CATEGORIA 3 CCT688/14;H13 ;6/12/2010;F;CBA                     ;Operador ;8;NO;CDT     ;ATACC No Afiliado;3;262478,7;291351,36;291351,36
1541;ACTI;Dentro de convenio;ATCC    ;36,0 Hs. CATEGORIA 3 CCT688/14;H01 ;6/12/2010;M;CBA                     ;Operador ;8;NO;CDT     ;ATACC No Afiliado;3;314974,44;349621,63;349621,63
1546;ACTI;Dentro de convenio;ATCC    ;30,0 Hs. CATEGORIA 3 CCT688/14;H13 ;6/12/2010;F;CBA                     ;Operador ;8;NO;CDT     ;ATACC No Afiliado;3;262478,7;291351,36;291351,36
1563;ACTI;Dentro de convenio;ATCC    ;36,0 Hs. CATEGORIA 3 CCT688/14;H01 ;4/4/2011;F;CBA                     ;Operador ;8;NO;CDT     ;ATACC No Afiliado;3;314974,44;349621,63;349621,63
1576;ACTI;Dentro de convenio;ATCC    ;35,0 Hs. CATEGORIA 3 CCT688/14;H03 ;18/4/2011;F;CBA                     ;Operador ;8;NO;CDT     ;ATACC No Afiliado;3;306225,15;339909,92;339909,92
1578;ACTI;Dentro de convenio;ATCC    ;36,0 Hs. CATEGORIA 3 CCT688/14;H01 ;18/4/2011;M;CBA                     ;Operador ;8;NO;CDT     ;ATACC No Afiliado;3;314974,44;349621,63;349621,63
1593;ACTI;Dentro de convenio;ATCC    ;35,0 Hs. CATEGORIA 3 CCT688/14;H03 ;21/11/2016;F;CBA                     ;Operador ;8;NO;CDT     ;ATACC No Afiliado;3;306225,15;339909,92;339909,92
2171;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;1/10/2005;F;CABA2                   ;Gerente de Legales;2;SI;GLE     ;Fuera de Convenio;4;1763954;2293140;2751768
2311;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;14/9/2015;M;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2312;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;14/9/2015;F;FORM                    ;Analista de Calidad;6;SI;CAL     ;Fuera de Convenio;4;427649;555944;667133
2314;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;14/9/2015;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2319;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;14/9/2015;F;FORM                    ;Team Leader Operaciones;7;NO;TLC     ;Fuera de Convenio;4;446398;580317;696380
2322;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;14/9/2015;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;294175,95;326535,3;326535,3
2325;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;14/9/2015;M;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2329;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;14/9/2015;F;FORM                    ;Team Leader Operaciones;7;NO;TLC     ;Fuera de Convenio;4;446398;580317;696380
2339;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;19/1/2016;M;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;294175,95;326535,3;326535,3
2341;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;19/1/2016;F;FORM                    ;Jefe de Operaciones;3;NO;JOP     ;Fuera de Convenio;4;656503;853454;1024145
2342;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;19/1/2016;M;FORM                    ;Team Leader Operaciones;7;NO;TLC     ;Fuera de Convenio;4;446398;580317;696380
2348;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;19/1/2016;F;FORM                    ;Analista de Calidad;6;SI;CAL     ;Fuera de Convenio;4;427649;555944;667133
2355;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;4/4/2016;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2365;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;4/4/2016;M;CBA                     ;Analista de Planeamiento Oper.;6;SI;APO     ;Fuera de Convenio;4;446398;580317;696380
2371;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;4/4/2016;M;FORM                    ;Analista Soporte Estratégico Operativo;6;SI;SEO     ;Fuera de Convenio;4;427649;555944;667133
2377;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;21/6/2016;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;294175,95;326535,3;326535,3
2379;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;21/6/2016;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;294175,95;326535,3;326535,3
2388;ACTI;Dentro de convenio;CC-781  ;36 Hs. CATEGORIA OP. A CCT 781;OP36;3/8/2016;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;302580,88;335864,78;335864,78
2389;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;3/8/2016;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 Afiliado;11;294175,95;326535,3;326535,3
2393;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;20/9/2016;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2396;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;20/9/2016;F;CBA                     ;Team Leader Operaciones;7;NO;TLC     ;Fuera de Convenio;4;446398;580317;696380
2397;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;20/9/2016;M;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;294175,95;326535,3;326535,3
2400;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;11/10/2016;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2401;ACTI;Dentro de convenio;CC-781  ;36 Hs. CATEGORIA OP. A CCT 781;OP36;11/10/2016;M;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;302580,88;335864,78;335864,78
2402;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;17/10/2016;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2403;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;17/10/2016;M;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2406;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;17/10/2016;M;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;294175,95;326535,3;326535,3
2407;ACTI;Dentro de convenio;CC-781  ;20 Hs. CATEGORIA OP. A CCT 781;OP20;17/10/2016;M;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;168100,54;186591,6;186591,6
2414;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;17/10/2016;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2416;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;17/10/2016;F;FORM                    ;Team Leader Operaciones;7;NO;TLC     ;Fuera de Convenio;4;446398;580317;696380
2420;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;10/11/2016;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;294175,95;326535,3;326535,3
2422;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;10/11/2016;F;FORM                    ;Formador;7;NO;FOR     ;Fuera de Convenio;4;427649;555944;667133
2423;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;14/11/2016;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2425;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;14/11/2016;M;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2426;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;14/11/2016;F;FORM                    ;Analista de Rep. & Facturacion;6;SI;ARF     ;Fuera de Convenio;4;446398;580317;696380
2433;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;14/11/2016;M;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2434;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;14/11/2016;F;FORM                    ;Team Leader Operaciones;7;NO;TLC     ;Fuera de Convenio;4;446398;580317;696380
2438;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;14/11/2016;M;FORM                    ;Team Leader Operaciones;7;NO;TLC     ;Fuera de Convenio;4;446398;580317;696380
2444;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;7/12/2016;M;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;294175,95;326535,3;326535,3
2446;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;13/12/2016;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2451;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;23/3/2007;M;CBA                     ;Gerente Operaciones;2;NO;GEO     ;Fuera de Convenio;4;1750000;2230000;2730000
2458;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;27/3/2017;M;FORM                    ;Coordinador Planea. Operativo;4;SI;CPO     ;Fuera de Convenio;4;737087;958213;1149856
